Column,Sample value,Type,Addendum,Remarks
DisclosureNumber,20161025419878,Int64,,Unique ID for disclosure documents.
DateCode,20170106_7888,string,,combination of TradeDate and LocalCode (this is not unique for stock_fin as a company can disclose multiple documents on a day)
Date,2017-01-06 0:00:00,date,,Trade date. This column is used to align with stock_price's TradeDate
SecuritiesCode,7888,Int64,,Local Securities Code
DisclosedDate,2017-01-06 0:00:00,date,,Date on which the document disclosed.
DisclosedTime,15:30:00,time,,Time on which the document disclosed.
DisclosedUnixTime,1483684200,Int64,,Unix time of the datetime on which the document disclosed.
TypeOfDocument,2QFinancialStatements_Consolidated_JP,string,,Document type indicated by ID.
CurrentPeriodEndDate,2016-11-30,date,,End date of the current accounting period.
TypeOfCurrentPeriod,2Q,date,"[Normal] 1Q (1st Quarter), 2Q (2nd Quarter), 3Q (3rd Quarter), FY (Fiscal Year)
[Applying of irregular fiscal year] 4Q (4th Quarter), 5Q (5th Quarter)","Type of the current accounting period.

[Note] Normally, companies do not disclose the 4Q financial statements independently, but discloses it in the annual financial results (FY). Therefore, the 4Q and 5Q financial statements only appear if companies adopt the irregular fiscal year (over 12 months)."
CurrentFiscalYearStartDate,2016-06-01,date,YYYY-MM-DD,Start date of the current fiscal year.
CurrentFiscalYearEndDate,2017-05-31,date,YYYY-MM-DD,End date of the current fiscal year.
NetSales,27528000000,Int64,Cumulated from 1Q,"Gross sales (the total amount of sales a company earned) minus returns, allowances, and discounts [yen].

[IFRS] Revenue."
OperatingProfit,1076000000,Int64,Cumulated from 1Q,"Net sales minus operating expenses (cost of goods sold and SG&A expenses) [yen].

[Note] Blank if banks or Insurances adapt Japanese standards."
OrdinaryProfit,1042000000,Int64,Cumulated from 1Q,"[JP Standard] Operating income plus non-operating income (interest revenue, dividends, etc.) minus non-operating expenses (interest expense, loss on sales of securities, etc.) [yen] 

[US Standard / IFRS] Income before income taxes [yen]
 or Earnings before Interest and taxes [yen]. "
Profit,796000000,Int64,Cumulated from 1Q,"Income before income taxes (ordinary income plus or minus extraordinary income or loss) minus taxes

[Consolidated] Profit attributable to owners of parent company."
EarningsPerShare,31.25,float,Cumulated from 1Q (round to 2 decimal places),"Earnings Per Share (EPS), which is the net income divided by the average number of shares during the period."
